date,total_purchase_amt,total_redeem_amt,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,mfd_daily_yield,mfd_7daily_yield
2013-07-01,0.1653435768166665,0.03607178199886966,4.456,5.423,6.04,6.88,5.295,4.239,4.282,4.4125,1.5787,6.307
2013-07-02,0.1477805496303014,0.016678141473762183,3.786,4.75,5.074,5.8,5.211,4.2344,4.2808,4.407,1.5461,6.174
2013-07-03,0.13878965635139848,0.03887162666035793,3.4,4.242,4.658,5.2,5.148,4.23,4.2796,4.4022,1.467,6.034
2013-07-04,0.0932423605970934,0.0418543888045752,3.348,3.938,4.464,5.102,5.029,4.2287,4.2776,4.4,1.4223,5.903
2013-07-05,0.05928420321955327,0.01804291599181147,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,1.3845,5.739
2013-07-06,0.18703895824565178,0.010554691961722984,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,1.3674,5.582
2013-07-07,0.04561166037561487,0.026002493506680723,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,1.3671,5.425
2013-07-08,0.2914055987937621,0.054500680843197036,3.256,3.656,3.686,4.3,4.794,4.2238,4.2741,4.4,1.3129,5.279
2013-07-09,0.13638836791082184,0.022674919143708793,3.249,3.596,3.604,4.298,4.723,4.2215,4.272,4.4,1.3096,5.15
2013-07-10,0.15622432072613432,0.01695640560023513,3.251,3.59,3.85,4.269,4.704,4.22,4.2707,4.4,1.2792,5.047
2013-07-11,0.22431275117094931,0.0229082651033125,3.3547,3.81,3.906,4.351,4.6955,4.2199,4.2705,4.4,1.2616,4.959
2013-07-12,0.17397280270814489,0.05544633883186102,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,1.2487,4.884
2013-07-13,0.07717808705424198,0.022738705552184445,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,1.2396,4.815
2013-07-14,0.11509649825262547,0.018176887036020307,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,1.2394,4.745
2013-07-15,0.24494158430947793,0.08557918182943154,3.2998,3.809,3.94,4.2705,4.6785,4.2185,4.2701,4.4,1.1985,4.682
2013-07-16,0.2576358327491092,0.07746412739220414,3.013,3.706,4.0,4.424,4.6703,4.2176,4.27,4.4,1.2214,4.634
2013-07-17,0.14767007068672644,0.07123912234445985,2.968,3.596,3.992,4.53,4.662,4.2166,4.27,4.4,1.1829,4.582
2013-07-18,0.12333713425753098,0.0768136953610489,2.998,3.634,3.996,4.61,4.6578,4.2173,4.27,4.4,1.1896,4.543
2013-07-19,0.17140890542630402,0.06035727857697367,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,1.2032,4.518
2013-07-20,0.10402099942719202,0.03003995771267972,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,1.1964,4.494
2013-07-21,0.10760039403749397,0.01750588274559109,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,1.1962,4.471
